Question,Answer
"Yes, I was looking to book a room in Lihao Hotel Can you tell me more about it","Certainly Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer a variety of room types such as Comfort Standard Room for108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb, Leisure Duplex Chess Room for 200rmb, Diversified Smart Film Rom for 400rmb"
That sounds great What amenities do you provide,"Yes, we provide a variety of amenities such as free breakfast served from 930 am to 1030 am, a gym available for guests, WiFi available with the password being the room number, near by amenities such as supermarket, cinema, and markets We also provide air conditioner, washing machine, hair dryer, television, electric kettle and free parking available near the hotel"
That sounds perfect May I check the checkin and checkout times,"Of course The checkin time is 300 pm and checkout time is 1200 pm We also have a front desk telephone number 1234567789, where you can call for any help or queries"
"Thats great Id like to book a Fashionable Smart Standard Room, how do I go about it","Sure, the Fashionable Smart Standard Room is available for 158rmb per night You can book the room online or contact us via the telephone number We accept all major credit cards for payment"
"Wonderful, Id like to book it now",Wed be glad to have you May I have the details of your credit card for payment
"Yes, of course Here you go",Thank you We have booked the room for you Please note that the checkin time is 300 pm and checkout time is 1200 pm The front desk will be available for your queries or help Have a great day
"Hello, Id like to check if you have any availability for today","Yes, we do have availability at Lihao Hotel located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Checkin time is at 300 pm and checkout time is at 1200 pm We have a variety of room types and prices to choose from, including the Comfort Standard Room at 108rmb, Comfort Single Room at 108rmb, Business Duplex Standard Room at 108rmb, Business Duplex King Room at 108rmb, Executive Business Standard King Room at 128rmb, Fashionable Smart Standard Room at 158rmb, Fashionable Smart King Room at 158rmb, Leisure Duplex Chess Room at 200rmb, Leisure Duplex Chess Room at 200rmb, and Diversified Smart Film Room at 400rmb"
That sounds great Is there a breakfast service,"Yes Our breakfast service is from 930 am to 1030 am The hotel also includes a gym, free WiFi with the password being the room number, supermarket, cinema, and market nearby We also provide a complimentary air conditioner, washing machine, hair dryer, television and electric kettle Furthermore, free parking is available near the hotel"
Fantastic I think thats what Im looking for Can I book one of your rooms now,"Of course you can Ill need a few details from you first Please provide me with your name, phone number and the specific room type youd like to book After that, Ill need a valid credit card to complete the booking"
Hi I want to book a room for tonight What are my options,"Alright Here are the types of rooms we offer Comfort Standard Room108 rmb, Comfort Single Room108 rmb, Business Duplex Standard Room108 rmb, Business Duplex King Room108 rmb, Executive Business Standard King Room128 rmb, Fashionable Smart Standard Room158 rmb, Fashionable Smart King Room158 rmb, Leisure Duplex Chess Room200 rmb, Leisure Duplex Chess Room200 rmb, Diversified Smart Film Rom400rmb"
Can you tell me a bit more about each of these room types,"Certainly All of our rooms have air conditioner, washing machine, hair dryer, television and electric kettle The Comfort Standard  Single Rooms are both equipped with one double bed The Business Duplex Standard  King Rooms both have one double bed and a sofa bed The Executive Business Standard King Rooms have a king size bed, while the Fashionable Smart Rooms are given special decorations and have a king size bed The Leisure Duplex Chess Rooms are tasked with two double beds and two bathrooms, while the Diversified Smart Film Rooms are the biggest with one kingsized bed, one double bed and two bathrooms"
"Alright, I want to book a Comfort Standard Room for one night","Wonderful Checkin starts at 3pm and checkout is at 12pm In addition, we provide free WiFi, with the password being the room number Guests are also able to access our gym Breakfast is served from 930 am to 1030 am There is free parking near our hotel and there are also supermarkets, cinemas and markets in the vicinity Anything else I can help you with"
"No, that should be all",Great Your booking is confirmed and I look forward to seeing you soon
Hello I  was wondering if you had any information about Lihao Hotel,"Yes, certainly The Lihao Hotel is conveniently located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have many different room types available, including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room and Diversified Smart Film Room The rates for each room type start at 108rmb, with the Diversified Smart Film Room being priced at 400rmb"
Do you have any other amenities available,"Yes, of course All rooms come with air conditioning, a washing machine, hairdryer, television and electric kettle We also offer free WiFi throughout the hotel, with the password being the room number There will also be free parking available near the hotel We serve breakfast every morning from 930 am to 1030 am, and our gym is available for guests at no extra charge"
Are there any other amenities nearby,"Yes, there are a few Theres a supermarket, cinema and market just a few blocks away for your convenience"
Ill take a Fashionable Smart King Room What time is checkin and checkout,"Checkin is at 300 pm and checkout is at 1200 pm If you need any assistance while staying at our hotel, dont hesitate to contact us at 1234567789"
That sounds great Ill be sure to call if I need anything Thank you,Youre welcome We look forward to having you stay with us
That sounds great Ill be sure to call if I need anything Thank you,"Yes, Lihao Hotel is available It is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer a range of room types, such as Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb"
Could you tell me about amenities available at the hotel,"Sure We provide breakfast from 930 am to 1030 am We have a gym available for guests as well We also provide free Wifi with the password being the room number You will also find a supermarket, cinema, and market close to the hotel We also provide air condioner, washing machine, hairdryer, television and electric kettle in each room We also provide free parking amenities near the hotel"
"Hello, I am interested in booking a room at the Lihao Hotel","Hi there Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have various room options, do you have any idea what type of room you would like to book"
"Yes, I would like to book a Comfort Single Room","Great We have Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128 rmb, Fashionable Smart Standard Room for 158 rmb, Fashionable Smart King Room for 158 rmb, Leisure Duplex Chess Room for 200 rmb, Leisure Duplex Chess Room for 200 rmb, Diversified Smart Film Rom for 400 rmb"
Does it come with breakfast,Yes We offer breakfast from 930 am to 1030 am every day
What other amenities do you offer,"We have a gym and free WiFi, with the password being the room number We also have a supermarket, cinema, and market nearby Along with this, we have airconditioner, washing machine, hair dryer, television, electric kettle, and free parking available near the hotel"
Sounds great I will book a room now,"Wonderful Please confirm that the checkin time is 300 pm and check out time is 1200 pm In addition, the front desk telephone number is 1234567789 If you have any further queries, please feel free to contact us"
"Hi, Im thinking of booking a room at your hotel and I have a few questions","Hi, thank you for your interest in Lihao Hotel How can I help"
What time is the checkin and checkout time,The checkin time is at 300 PM and the checkout time is at 1200 PM
What kind of rooms do you have and what are their prices,"We have Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb, Leisure Duplex Chess Room for 200rmb and Diversified Smart Film Room for 400rmb"
Is the breakfast included in the price,"Yes, we offer complimentary breakfast from 930 am to 1030 am"
Do you provide WiFi,"WiFi is available, with the password being the room number"
Do you have any nearby amenities,"Yes, we are located next to a fruit market and across from Futian Garden Our guests also have access to a nearby supermarket, cinema, and market"
"Do all the rooms have an air conditioner, a washing machine, a hair dryer, a television and an electric kettle","Yes, all the rooms are equipped with an air conditioner, washing machine, hair dryer, television and an electric kettle"
"Finally, do you offer free parking near the hotel","Yes, we do offer free parking near the hotel"
"Great, thank you for your help I think Ill book a room now","Thank you for choosing Lihao Hotel, we look forward to have you Please, feel free to contact us at 1234567789 if you have any further questions or requests Have a pleasant stay"
Good afternoon Id like to make a reservation for tonight,"Hello, thank you for contacting Lihao Hotel Wed be glad to host you Please could you tell me what type of room you would like to book"
"Yes, Id like to book a Comfort Standard Room How much is that room per night",The Comfort Standard Room is 108rmb per night
All right What is the checkin and checkout time,The checkin time is 300 pm and checkout time is 1200 pm
Are there any complimentary services available Do you offer free breakfast,"Yes, we offer a complimentary breakfast from 930 am to 1030 am We also have a gym and free Wifi The wifi password is the same as your room number"
"What about amenities Are there any supermarkets, cinemas or markets near the hotel","Yes, there is a supermarket, cinema, and market located next to the hotel, with Futian Garden just across the street You can find all your needs nearby"
"Do you provide airconditioning, a washing machine, hair dryer, television, and electric kettle in the room","Yes, all of these services are available in the room upon request"
Do you have free parking near the hotel,"Yes, there is free parking near the hotel for our customers"
That sounds great Can I reserve a room now,"Yes, absolutely Please provide me with your contact details and Ill have the reservation made for you"
"Hi, Im calling to enquire about booking a room at the Lihao hotel","Hi, of course Welcome to Lihao Hotel How can I help"
"Yes, I would like to book a room Could you tell me what room types you have available and their prices","Sure We have the following room types available at the moment Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Room400rmb"
"Great, thats perfect Could you tell me a little more about the room amenities","Certainly Our rooms come with air conditioning, a washing machine, a hairdryer, a television, and an electric kettle You can also take advantage of free parking near the hotel, and youll have access to the gym if you decide to stay with us"
Sounds good Is there WiFi available and whats the password,"Yes, we do have WiFi available with the password being the room number"
"Great, thats perfect Could you tell me what other nearby amenities are available","You can find a nearby supermarket, cinema and market for your convenience The checkin time is at 300PM and checkout time is 1200 PM The breakfast is available between 930AM 1030AM"
Thats great Id like to book a room What information do you need,"Ill need your name, contact number, address, and payment information Ill also need to know your desired room type and the number of guests"
"Okay, Ill give you that information",Perfect Is there anything else I can help you with
"No, thank you That should be it","Alright, great I look forward to your visit Please contact the hotel directly for any other questions at 1234567789"
Hello Im looking for accommodations for the night,"Well youve come to the right place Welcome to the Lihao Hotel at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of accommodation options available We have Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, Diversified Smart Film Rooms, and more All our rooms come with air conditioning, washing machine, hair dryer, television, and electric kettle"
Ok What prices do the rooms range,"Our room prices range from 108rmb to 400rmb, depending on the room type you choose To make sure you dont miss out on a good deal, Id suggest you take a look at our website for any special offers"
Does the hotel have free parking,The hotel does have free parking available near the hotel for our guests We also provide convenient WiFi access with the password being the room number
What about amenities near the hotel,"We are conveniently situated near various amenities such as a supermarket, cinema, and market We also have a gym that is available for our guests Breakfast is served from 930am to 1030 am"
"Great, that sounds like what Im looking for Can I checkin and checkout at certain times","Absolutely, we offer checkin any time after 3 pm and checkout by 12 pm If you have any more questions or require assistance, you can call us on 1234567789"
Good morning Id like to book a room at Lihao Hotel,Good morning Welcome to Lihao Hotel We have an array of room types for you to choose from How many guests do you have and which type of room would you like
I have one guest and would like to book a Comfort Standard Room,Excellent We have Comfort Standard Room for only 108rmb for you Is 300 pm an ideal checkin time for you
"Yes, it is What is the checkout time",The checkout time is at 1200 noon Is there anything else youll be needing
"Yes, I want to find out what amenities are available within the hotel","Sure We provide WiFi with the password being the room number, an available gym, and nearby amenities like a supermarket, cinema, and markets Furthermore, all rooms come with air conditioning, washing machine, hairdryer, television and electric kettle Lastly, we have free parking available near the hotel for our guests"
That sounds great Do you have breakfast included,Absolutely Our breakfast is served from 930 am to 1030 am
Alright That will be great Can I please confirm my booking,"Yes, of course May I just take your details and confirm the booking"
"Hi, I would like to inquire about a hotel room","Welcome to Lihao Hotel, how can I help"
I would like to stay at your hotel and was wondering what room types you offer,"We offer a variety of room types, such as a Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb and Diversified Smart Film Rom 400rmb"
"Thats great, can I get a Comfort Single Room for one night","Yes, sure The Comfort Single Room will cost 108rmb for a night Additionally, we are located at 186 Zhuluo East Road next to the fruit market and across from Futian Garden"
"Okay, that sounds great What is the checkout time",Checkout time is 1200 pm Are there any other questions I can answer
"Yes, do you provide any amenities like a gym, WiFi, air conditioning, etc","Yes, we do We provide a gym available for guests, as well as WiFi with the password being the room number We also provide air conditioning and washing machines, hair dryers, televisions and electric kettles in each room Additionally, we offer a complimentary breakfast from 930 am to 1030 am, as well as free parking near the hotel There are also supermarkets, cinemas and markets close by"
That sounds perfect Ill take the room for the night,Great I just need your credit card details to confirm the reservation
Good afternoon Id like to make a reservation at Lihao Hotel,"Hi there, sure What kind of room would you like to book We have Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb, Leisure Duplex Chess Room for 200rmb, and Diversified Smart Film Rom for 400rmb"
I think the Comfort Standard Room should be enough Ill stay for two days Whats the checkin and checkout times,Sure The checkin time is 300 pm and the checkout time is 1200 pm
Great Is there any extra amenities near the hotel Like a supermarket or a cinema,"Sure, there is a supermarket and cinema nearby, as well as a fruit market across from Futian Garden"
"Wonderful What about the facilities in the hotel Do you have WiFi, air conditioner, washing machine, hair dryer, television, and electric kettle in the room","Yes, we do Our WiFi is also available and the password is the room number The air conditioner, washing machine, hair dryer, television, and electric kettle are all in the room We also provide free parking near the hotel And there is a gym available for guests Breakfast is served from 930 am to 1030 am"
That sounds great Ill go ahead and book the Comfort Standard Room,Perfect Do you need any further assistance
"No, thank you Thats all",Great Have a nice stay at Lihao Hotel
"Hello, I was wondering about your Lihao Hotel","Hi, how can I help you today"
