Question,Answer,Question class
"I wanted to know the checkin and checkout times, as well as the room types and costs available at the hotel","Absolutely The checkin time at the Lihao Hotel is 300 pm and the checkout time is 1200 pm We have a variety of different room types and costs available for you to choose from Our Comfort Standard Room costs 108rmb, our Comfort Single Room costs 108rmb, our Business Duplex Standard Room costs 108rmb, our Business Duplex King Room costs 108rmb, our Executive Business Standard King Room costs 128rmb, our Fashionable Smart Standard Room costs 158rmb, our Fashionable Smart King Room costs 158rmb, our Leisure Duplex Chess Room costs 200rmb, our Leisure Duplex Chess Room costs 200rmb, and our Diversified Smart Film Room costs 400rmb",4
"Thats great I also wanted to ask if breakfast is included, what amenities are nearby, and what type of facilities are available","Of course Breakfast is available at the hotel from 930 am to 1030 am We also have a gym with gym equipment available for our guests to use Additionally, we offer free WiFi with the password being the room number Nearby amenities to the hotel include a supermarket, cinema, and market Lastly, all of our rooms come with air conditioning, a washing machine, a hair dryer, a television and an electric kettle",4
"Thats great One last question, is there free parking available near the hotel",Absolutely We do have free parking available near the hotel for our guests,4
"Good afternoon, I want to book a room for tonight","Good afternoon, my name is Lihao and Im the agent at Lihao Hotel Welcome Could you please provide me with the details of your stay",1
Sure,Could you please let me know the check in and check out time,3
I would like to check in at 300 pm and check out at 1200 pm,"What type of room would you like We have Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb, Diversified Smart Film Rom 400rmb",3
I would like to book the comfort single room for 108rmb,"Okay, we can provide the room for you All rooms have air conditioners, washing machines, hairdryers, televisions, and electric kettles Also, WiFi is available, with the password being the room number You will have free parking nearby and breakfast between 930 and 1030 am The gym is available for guests",1
"That sounds great, Ill take it","Wonderful, we are happy to host you here at Lihao Hotel I just need to confirm some information Could you please tell me the name and address of the hotel",1
"Lihao Hotel located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",Perfect Is there anything else I can do for you,1
Can you provide me with the telephone number of the hotel,"Certainly, the hotels contact number is 1234567789 Is there anything else I can help you with",4
"No, thats all Thanks for your help","You are welcome, have a nice day",4
Good morning I was wondering if I could book a room at your Lihao Hotel,"Good morning and thank you for your interest in Lihao Hotel Yes, certainly But, first, could you please let me know which room type do you wish to book We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom All of our rooms are priced at 108rmb, 128rmb, 158rmb and 400rmb respectively",1
Sure I think I am looking for the Comfort Standard Room,Great I can confirm that we have one available on the dates you are looking for Would you also like to know more about the amenities we provide,1
"Yes, I would like to know if my room will come with an air conditioner, television, electric kettle and a hairdryer","Yes, of course All the Comfort Standard rooms are equipped with the amenities you mentioned We also provide WiFi for all our guests, with the password being the room number Additionally, we have a gym, supermarket and cinema near the hotel Lastly, we also offer a complimentary breakfast from 930 am to 1030 am every day and free parking near the hotel",4
That sounds great Can I also have the checkin and checkout time,"Sure Our checkin time is at 300 pm while our checkout time is at 1200 pm If you have any further queries or require more information, please dont hesitate to contact us on 1234567789",4
Do you also provide laundry services,"Yes, we certainly do We provide laundry services for our customers at a minimal charge",4
Perfect Thats all the information I need for now I would like to go ahead and make a booking please,Certainly Can I just doublecheck your details,1
Sure,"Okay, I just need to confirm your name, contact number and dates of checkin and checkout",3
Suraj Rikka and my contact number is 987654321 I will be checking in on 6th August and checking out on 8th August,"Certainly, suraj Your booking is confirmed We look forward to welcoming you to the Lihao Hotel Have a great day",3
Good day,Hi Welcome to Lihao Hotel How can I help you today,1
"Yes, Id like to book a room for 3 days","Sure What type of room would you like We offer Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, and Diversified Smart Film Rooms",1
Ill take the Executive Business Standard King Room for 3 days What time is check in and check out,Check in time is 3pm and check out time is 12pm There is free parking available near the hotel Do you have any other questions,3
"Yes, do you provide amenities such as air conditioner, Wifi, gym, washing machine, hair dryer, television and electric kettle","Yes, we do provide amenities such as air conditioner, Wifi, gym, washing machine, hair dryer, television, and electric kettle WiFi is available with the password being the room number Breakfast is served from 930am to 1030am and there is a supermarket, cinema and market nearby Is that all",4
"Yes, thats all Thank you for your help",Youre welcome Please feel free to call our front desk telephone number 1234567789 if you have any other queries We look forward to seeing you soon,4
"Hi, I would like to make a reservation at your Lihao Hotel","Sure, wed be happy to help you with that What type of room were you looking for We offer Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, and Diversified Smart Film Rooms",1
Could you tell me about the prices for these rooms,"Of course We have many different price points depending on the type of room you are interested in Our Comfort Standard Room is 108rmb, Comfort Single Room is 108rmb, Business Duplex Standard Room is 108rmb, Business Duplex King Room is 108rmb, Executive Business Standard King Room is 128rmb, Fashionable Smart Standard Room is 158rmb, Fashionable Smart King Room is 158rmb, Leisure Duplex Chess Room is 200rmb, and Diversified Smart Film Room is 400rmb",1
Do you offer any amenities with these rooms,"Yes, we offer amenities with all of our rooms We provide free breakfast from 930 am to 1030 am There is a gym available for our guests, and WiFi is available, with the password being the room number We are also near a supermarket, a cinema, and a market Our rooms also come with air conditioning, a washing machine, a hair dryer, a television, and an electric kettle Additionally, free parking is available near the hotel",4
What are your checkin and checkout times,Our checkin time is 300 pm and our checkout time is 1200 pm,3
"Great, where is your hotel located","Our hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",4
Thanks for your help Could I please have the telephone number for your front desk,Absolutely Our front desk telephone number is 1234567789 Is there anything else I can do for you,4
Hi This is Name and I wanted to book a room for a night,"Hi Name, thank you for contacting Lihao Hotel We would be delighted to accommodate you Can you please provide me with more information about your booking",1
Sure I would like to stay in a Comfort Standard Room,"Great, the Comfort Standard Room is 108rmb Can I have your full name and other necessary particulars for the booking",1
"Sure My full name is Name, my email address is Email and my phone number is Phone Number","Thank you for providing that information Name The Comfort Standard room at Lihao Hotel will include air conditioning, television, electric kettle and a hair dryer In addition, youll have free access to WiFi with the password being your room number upon checkin",4
That sounds great Could you tell me a bit more about the parking and breakfast,"Absolutely We offer free parking near the hotel There is also a gym available, as well as a supermarket, cinema, and market within walking distance When it comes to breakfast, it is served from 930 am to 1030 am",4
That sounds really nice How does the checkin and checkout time work,"Checkin time is 300 pm, and checkout time is 1200 pm Also, feel free to contact us with any further questions at our hotel telephone number of 1234567789",3
Thanks for the information I think I have everything I need to book the room,Wonderful It would be our pleasure to accommodate you Is there anything else I can help you with,1
"No, thats all Thank you for your help",Youre very welcome We look forward to seeing you soon Have a great day,4
"Hello, Im calling about reservation for Lihao Hotel","Hi, thank you for calling Lihao Hotel How can I help you with your reservation",1
I would like to book a room for 2 nights,"Certainly What type of room will you be booking We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom",1
I shall book the Executive Business Standard King Room How much would that be,"The Executive Business Standard King Room is 128rmb per night, so itll be a total of 256rmb",1
"Okay, that works What are the checkin and checkout times",The checkin time is 3 pm and the checkout time is 12 pm,3
What amenities are included in the room,"All our rooms include air conditioning, a washing machine, a hair dryer, a television with cable channels, and an electric kettle",4
What about WiFi access,"We do offer WiFi access, with the password being the room number",4
Do you have any other amenities that guests can take advantage of,"Yes, we do We have complimentary breakfast from 930 am to 1030 am We also offer a gym, a supermarket, a cinema, and a market nearby",4
Do you provide free parking near the hotel,"Yes, we do provide free parking near the hotel",4
"All right, Id like to go ahead and book a room What information do you need from me","Ill need your name, address, contact number, and a valid form of payment",1
"Okay, thats it","Yes, thats all we need Would you like to book now or later",4
"Hi, Im looking for a hotel to stay in Could you tell me about Lihao Hotel","Yes definitely Lihao Hotel is located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden  We provide Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Room, with different prices for different rooms Breakfast is available between 930 am to 1030 am   Guests also benefit from a gym, WiFi, nearby amenities such as supermarkets, cinemas, and a market Additionally, the hotel provides air conditioner, washing machine, a hair dryer, a television and an electric kettle Free parking is available near the hotel",1
That all sounds great What is the checkin and checkout time,"The checkin time is at 300 pm, while the checkout time is at 1200 pm  Also, the WiFi password is the room number Is there anything else I can help you with",3
I think that is all I need to know Could I have the front desk telephone number please,"Sure, the telephone number is 1234567789  Do you have any other questions",4
"Hi, I am looking for a hotel in the city and I heard good things about Lihao Hotel","Hi Welcome to Lihao Hotel We are conveniently located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of different room types available with different prices to suit your needs",4
What type of rooms do you have available with prices,"We have Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room 200rmb, Diversified Smart Film Room400rmb",4
What other amenities are offered at the hotel,"We offer a variety of amenities for our guests We have a complimentary breakfast available from 930am to 1030 am We also have a gym available, free WIFI with the password being the room number and various nearby amenities such as supermarket, cinema, and market We also provide airconditioning, washing machine, hair dryer, television, electric kettle and free parking spaces near the hotel",4
What is the checkin and checkout time,The checkin time is 300 pm and the checkout time is 1200 pm Our front desk telephone number is 1234567789 if you have any further questions or inquiries,4
"Ok, that sounds great Ill be sure to book a room Thank you for your help","Youre welcome, we look forward to your arrival Enjoy your stay here at Lihao Hotel",1
"Hi, I am looking for accommodation and I came across your hotel Can you tell me more about it","Glad to hear that you are interested in our hotel, Lihao Hotel at 186 Zhuluo East Road Its conveniently located next to the fruit market and across from Futian Garden Some of our features include air conditioning, washing machine, hair dryer, television, electric kettle and free parking near the hotel We also have a gym available for our guests to use WiFi is available and the password for it is the room number Breakfast is provided from 930 am to 1030 am and some of our nearby amenities include a supermarket, cinema and market",4
What kind of room do you have available,"We have several options available Our Comfort Standard Room and Comfort Single Room are priced at 108RMB, while the Business Duplex Standard Room and Business Duplex King Room are priced at 108RMB If youre looking for something more luxurious, our Executive Business Standard King Room is priced at 128rmb and the Fashionable Smart Standard Room and Fashionable Smart King Room are priced at 158rmb Furthermore, our Leisure Duplex Chess Room and Diverified Smart Film Room are priced at 200RMB and 400RMB respectively",1
Whats the checkin and checkout time,The checkin time is at 300 pm and checkout time is at 1200 pm,4
How can I book a room,You can book a room through our website or by giving us a call at 1234567789 We look forward to welcoming you to Lihao Hotel,1
Good morning,"Good morning, how can I help you",1
"Yes, I was looking to book a room in Lihao Hotel Can you tell me more about it","Certainly Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer a variety of room types such as Comfort Standard Room for108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb, Leisure Duplex Chess Room for 200rmb, Diversified Smart Film Rom for 400rmb",4
That sounds great What amenities do you provide,"Yes, we provide a variety of amenities such as free breakfast served from 930 am to 1030 am, a gym available for guests, WiFi available with the password being the room number, near by amenities such as supermarket, cinema, and markets We also provide air conditioner, washing machine, hair dryer, television, electric kettle and free parking available near the hotel",4
That sounds perfect May I check the checkin and checkout times,"Of course The checkin time is 300 pm and checkout time is 1200 pm We also have a front desk telephone number 1234567789, where you can call for any help or queries",3
"Thats great Id like to book a Fashionable Smart Standard Room, how do I go about it","Sure, the Fashionable Smart Standard Room is available for 158rmb per night You can book the room online or contact us via the telephone number We accept all major credit cards for payment",1
"Wonderful, Id like to book it now",Wed be glad to have you May I have the details of your credit card for payment,1
"Yes, of course Here you go",Thank you We have booked the room for you Please note that the checkin time is 300 pm and checkout time is 1200 pm The front desk will be available for your queries or help Have a great day,1
"Hello, Id like to check if you have any availability for today","Yes, we do have availability at Lihao Hotel located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Checkin time is at 300 pm and checkout time is at 1200 pm We have a variety of room types and prices to choose from, including the Comfort Standard Room at 108rmb, Comfort Single Room at 108rmb, Business Duplex Standard Room at 108rmb, Business Duplex King Room at 108rmb, Executive Business Standard King Room at 128rmb, Fashionable Smart Standard Room at 158rmb, Fashionable Smart King Room at 158rmb, Leisure Duplex Chess Room at 200rmb, Leisure Duplex Chess Room at 200rmb, and Diversified Smart Film Room at 400rmb",1
That sounds great Is there a breakfast service,"Yes Our breakfast service is from 930 am to 1030 am The hotel also includes a gym, free WiFi with the password being the room number, supermarket, cinema, and market nearby We also provide a complimentary air conditioner, washing machine, hair dryer, television and electric kettle Furthermore, free parking is available near the hotel",4
Fantastic I think thats what Im looking for Can I book one of your rooms now,"Of course you can Ill need a few details from you first Please provide me with your name, phone number and the specific room type youd like to book After that, Ill need a valid credit card to complete the booking",1
Hi I want to book a room for tonight What are my options,"Alright Here are the types of rooms we offer Comfort Standard Room108 rmb, Comfort Single Room108 rmb, Business Duplex Standard Room108 rmb, Business Duplex King Room108 rmb, Executive Business Standard King Room128 rmb, Fashionable Smart Standard Room158 rmb, Fashionable Smart King Room158 rmb, Leisure Duplex Chess Room200 rmb, Leisure Duplex Chess Room200 rmb, Diversified Smart Film Rom400rmb",1
Can you tell me a bit more about each of these room types,"Certainly All of our rooms have air conditioner, washing machine, hair dryer, television and electric kettle The Comfort Standard  Single Rooms are both equipped with one double bed The Business Duplex Standard  King Rooms both have one double bed and a sofa bed The Executive Business Standard King Rooms have a king size bed, while the Fashionable Smart Rooms are given special decorations and have a king size bed The Leisure Duplex Chess Rooms are tasked with two double beds and two bathrooms, while the Diversified Smart Film Rooms are the biggest with one kingsized bed, one double bed and two bathrooms",4
"Alright, I want to book a Comfort Standard Room for one night","Wonderful Checkin starts at 3pm and checkout is at 12pm In addition, we provide free WiFi, with the password being the room number Guests are also able to access our gym Breakfast is served from 930 am to 1030 am There is free parking near our hotel and there are also supermarkets, cinemas and markets in the vicinity Anything else I can help you with",1
"No, that should be all",Great Your booking is confirmed and I look forward to seeing you soon,4
Hello I  was wondering if you had any information about Lihao Hotel,"Yes, certainly The Lihao Hotel is conveniently located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have many different room types available, including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room and Diversified Smart Film Room The rates for each room type start at 108rmb, with the Diversified Smart Film Room being priced at 400rmb",1
Do you have any other amenities available,"Yes, of course All rooms come with air conditioning, a washing machine, hairdryer, television and electric kettle We also offer free WiFi throughout the hotel, with the password being the room number There will also be free parking available near the hotel We serve breakfast every morning from 930 am to 1030 am, and our gym is available for guests at no extra charge",4
Are there any other amenities nearby,"Yes, there are a few Theres a supermarket, cinema and market just a few blocks away for your convenience",4
Ill take a Fashionable Smart King Room What time is checkin and checkout,"Checkin is at 300 pm and checkout is at 1200 pm If you need any assistance while staying at our hotel, dont hesitate to contact us at 1234567789",3
That sounds great Ill be sure to call if I need anything Thank you,Youre welcome We look forward to having you stay with us,4
That sounds great Ill be sure to call if I need anything Thank you,"Yes, Lihao Hotel is available It is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer a range of room types, such as Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb",4
Could you tell me about amenities available at the hotel,"Sure We provide breakfast from 930 am to 1030 am We have a gym available for guests as well We also provide free Wifi with the password being the room number You will also find a supermarket, cinema, and market close to the hotel We also provide air condioner, washing machine, hairdryer, television and electric kettle in each room We also provide free parking amenities near the hotel",4
"Hello, I am interested in booking a room at the Lihao Hotel","Hi there Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have various room options, do you have any idea what type of room you would like to book",1
"Yes, I would like to book a Comfort Single Room","Great We have Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128 rmb, Fashionable Smart Standard Room for 158 rmb, Fashionable Smart King Room for 158 rmb, Leisure Duplex Chess Room for 200 rmb, Leisure Duplex Chess Room for 200 rmb, Diversified Smart Film Rom for 400 rmb",1
Does it come with breakfast,Yes We offer breakfast from 930 am to 1030 am every day,4
What other amenities do you offer,"We have a gym and free WiFi, with the password being the room number We also have a supermarket, cinema, and market nearby Along with this, we have airconditioner, washing machine, hair dryer, television, electric kettle, and free parking available near the hotel",4
Sounds great I will book a room now,"Wonderful Please confirm that the checkin time is 300 pm and check out time is 1200 pm In addition, the front desk telephone number is 1234567789 If you have any further queries, please feel free to contact us",1
"Hi, Im thinking of booking a room at your hotel and I have a few questions","Hi, thank you for your interest in Lihao Hotel How can I help",1
What time is the checkin and checkout time,The checkin time is at 300 PM and the checkout time is at 1200 PM,3
What kind of rooms do you have and what are their prices,"We have Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb, Leisure Duplex Chess Room for 200rmb and Diversified Smart Film Room for 400rmb",4
Is the breakfast included in the price,"Yes, we offer complimentary breakfast from 930 am to 1030 am",4
Do you provide WiFi,"WiFi is available, with the password being the room number",4
Do you have any nearby amenities,"Yes, we are located next to a fruit market and across from Futian Garden Our guests also have access to a nearby supermarket, cinema, and market",4
"Do all the rooms have an air conditioner, a washing machine, a hair dryer, a television and an electric kettle","Yes, all the rooms are equipped with an air conditioner, washing machine, hair dryer, television and an electric kettle",4
"Finally, do you offer free parking near the hotel","Yes, we do offer free parking near the hotel",4
"Great, thank you for your help I think Ill book a room now","Thank you for choosing Lihao Hotel, we look forward to have you Please, feel free to contact us at 1234567789 if you have any further questions or requests Have a pleasant stay",1
Good afternoon Id like to make a reservation for tonight,"Hello, thank you for contacting Lihao Hotel Wed be glad to host you Please could you tell me what type of room you would like to book",1
"Yes, Id like to book a Comfort Standard Room How much is that room per night",The Comfort Standard Room is 108rmb per night,1
All right What is the checkin and checkout time,The checkin time is 300 pm and checkout time is 1200 pm,3
Are there any complimentary services available Do you offer free breakfast,"Yes, we offer a complimentary breakfast from 930 am to 1030 am We also have a gym and free Wifi The wifi password is the same as your room number",4
"What about amenities Are there any supermarkets, cinemas or markets near the hotel","Yes, there is a supermarket, cinema, and market located next to the hotel, with Futian Garden just across the street You can find all your needs nearby",4
"Do you provide airconditioning, a washing machine, hair dryer, television, and electric kettle in the room","Yes, all of these services are available in the room upon request",4
Do you have free parking near the hotel,"Yes, there is free parking near the hotel for our customers",4
That sounds great Can I reserve a room now,"Yes, absolutely Please provide me with your contact details and Ill have the reservation made for you",1
"Hi, Im calling to enquire about booking a room at the Lihao hotel","Hi, of course Welcome to Lihao Hotel How can I help",1
"Yes, I would like to book a room Could you tell me what room types you have available and their prices","Sure We have the following room types available at the moment Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Room400rmb",1
"Great, thats perfect Could you tell me a little more about the room amenities","Certainly Our rooms come with air conditioning, a washing machine, a hairdryer, a television, and an electric kettle You can also take advantage of free parking near the hotel, and youll have access to the gym if you decide to stay with us",4
Sounds good Is there WiFi available and whats the password,"Yes, we do have WiFi available with the password being the room number",4
"Great, thats perfect Could you tell me what other nearby amenities are available","You can find a nearby supermarket, cinema and market for your convenience The checkin time is at 300PM and checkout time is 1200 PM The breakfast is available between 930AM 1030AM",4
Thats great Id like to book a room What information do you need,"Ill need your name, contact number, address, and payment information Ill also need to know your desired room type and the number of guests",1
"Okay, Ill give you that information",Perfect Is there anything else I can help you with,3
"No, thank you That should be it","Alright, great I look forward to your visit Please contact the hotel directly for any other questions at 1234567789",4
Hello Im looking for accommodations for the night,"Well youve come to the right place Welcome to the Lihao Hotel at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of accommodation options available We have Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, Diversified Smart Film Rooms, and more All our rooms come with air conditioning, washing machine, hair dryer, television, and electric kettle",1
Ok What prices do the rooms range,"Our room prices range from 108rmb to 400rmb, depending on the room type you choose To make sure you dont miss out on a good deal, Id suggest you take a look at our website for any special offers",4
Does the hotel have free parking,The hotel does have free parking available near the hotel for our guests We also provide convenient WiFi access with the password being the room number,4
What about amenities near the hotel,"We are conveniently situated near various amenities such as a supermarket, cinema, and market We also have a gym that is available for our guests Breakfast is served from 930am to 1030 am",4
"Great, that sounds like what Im looking for Can I checkin and checkout at certain times","Absolutely, we offer checkin any time after 3 pm and checkout by 12 pm If you have any more questions or require assistance, you can call us on 1234567789",4
Good morning Id like to book a room at Lihao Hotel,Good morning Welcome to Lihao Hotel We have an array of room types for you to choose from How many guests do you have and which type of room would you like,1
I have one guest and would like to book a Comfort Standard Room,Excellent We have Comfort Standard Room for only 108rmb for you Is 300 pm an ideal checkin time for you,1
"Yes, it is What is the checkout time",The checkout time is at 1200 noon Is there anything else youll be needing,3
"Yes, I want to find out what amenities are available within the hotel","Sure We provide WiFi with the password being the room number, an available gym, and nearby amenities like a supermarket, cinema, and markets Furthermore, all rooms come with air conditioning, washing machine, hairdryer, television and electric kettle Lastly, we have free parking available near the hotel for our guests",4
That sounds great Do you have breakfast included,Absolutely Our breakfast is served from 930 am to 1030 am,1
Alright That will be great Can I please confirm my booking,"Yes, of course May I just take your details and confirm the booking",1
"Hi, I would like to inquire about a hotel room","Welcome to Lihao Hotel, how can I help",1
I would like to stay at your hotel and was wondering what room types you offer,"We offer a variety of room types, such as a Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb and Diversified Smart Film Rom 400rmb",1
"Thats great, can I get a Comfort Single Room for one night","Yes, sure The Comfort Single Room will cost 108rmb for a night Additionally, we are located at 186 Zhuluo East Road next to the fruit market and across from Futian Garden",1
"Okay, that sounds great What is the checkout time",Checkout time is 1200 pm Are there any other questions I can answer,3
"Yes, do you provide any amenities like a gym, WiFi, air conditioning, etc","Yes, we do We provide a gym available for guests, as well as WiFi with the password being the room number We also provide air conditioning and washing machines, hair dryers, televisions and electric kettles in each room Additionally, we offer a complimentary breakfast from 930 am to 1030 am, as well as free parking near the hotel There are also supermarkets, cinemas and markets close by",4
That sounds perfect Ill take the room for the night,Great I just need your credit card details to confirm the reservation,1
Good afternoon Id like to make a reservation at Lihao Hotel,"Hi there, sure What kind of room would you like to book We have Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb, Leisure Duplex Chess Room for 200rmb, and Diversified Smart Film Rom for 400rmb",1
I think the Comfort Standard Room should be enough Ill stay for two days Whats the checkin and checkout times,Sure The checkin time is 300 pm and the checkout time is 1200 pm,3
Great Is there any extra amenities near the hotel Like a supermarket or a cinema,"Sure, there is a supermarket and cinema nearby, as well as a fruit market across from Futian Garden",4
